～おき,～置き,隔，每隔
せっかち,,性急，急性子
せっきょく,積極,积极
せっきょくてき,積極的,积极的，积极地
せっきん,接近,接近，靠近，密切的关系，密切
セックス,sex,性，性别；性欲，性行为，性感；性交
せっけい,設計,设计，计划，规划
せっけいず,設計図,设计图
せっけん,石鹸,肥皂，胰子，香皂
ぜっこう,絶好,绝好，绝佳，最好，极好
せっし,摂氏,摄氏
せつじつ,切実,切实，迫切，殷切，痛切，非常要紧
せっしょく,接触,接触，来往，交往，交际
せっする,接する,接触，接连，邻接，毗连；接到；会（客）；靠近，挨近
せっせと,,拼命地，一个劲儿地，拼命
せつぞく,接続,连接，接连，连续，接续
せつぞくし,接続詞,连词，连接词
ぜったい,絶対,绝对，一定
ぜったいに,絶対に,绝对
せっち,設置,设置，安装，设置，设立
せっちゅう,折衷,折中，折衷，合璧
せってい,設定,设立，制定，确定，设置
セット,set,（一）组，（一）套（餐具）；一盘（比赛），一局；卷做头发，梳整发形；舞台装置，大道具，置景；组装；设置，对表；套餐；调整
せっとく,説得,说服，劝导
せつない,切ない,喘不过气来，（因寂寞，悲伤等）难过的，苦闷的
せつに,切に,恳切地，迫切地，殷切地，务必，热切，一再
ぜっぱん,絶版,绝版
せつび,設備,设备，设置，准备
せっぺん,切片,碎片，切片；截矩，截段，截距
ぜつぼう,絶望,绝望，无望
せつめい,説明,说明，解释，讲解
ぜつめつ,絶滅,灭绝，根绝，消灭
せつやく,節約,节约，节省，省，节俭
せつりつ,設立,设立，成立
せとないかい,瀬戸内海,位于西日本的内海
せともの,瀬戸物,陶瓷，陶瓷器
せなか,背中,背，脊背，脊梁；背后
ぜひ,是非,是非，好歹；务必，一定（愿望强烈）
ぜひとも,是非とも,务必，无论如何，一定要
せびろ,背広,普通西服，男子西装
せまい,狭い,窄，狭小，狭窄的，狭隘
せまる,迫る,强迫，迫使；迫近，逼近，临近，紧迫
ゼミ,Seminar,（セミナー）（德）研究会，（大学的）研究班，研究班讨论会；专家讨论会
せめ,攻め,进攻
せめて,,至少，最低
せめる,攻める,攻，攻打，攻击，进攻
せめる,責める,责备，责难，苛责，申责；折磨；催促
セメント,cement,水泥，洋灰，堵牙用石膏
ゼリー,jelly,果子冻，果汁冻，胶状物，胶状药品，果子糖，软糖，果冻，胶质状
せりふ,台詞,台词，道白；说词，说法
セルフサービス,self service,自助式服务，顾客自理，自助（餐店经营方式），自助餐，顾客自选；无人售货（的商店）
セレモニー,ceremony,典礼，仪式
ゼロ,zero,零
せろん,世論,世论，舆论
せわ,世話,帮助，帮忙，援助；斡旋，介绍；照料，照管，照拂，照顾
せわになる,世話になる,受到照顾
せわをする,世話をする,照料，照顾
せん,千,千
せん,栓,瓶塞，塞子，堵塞物，栓，（自来水等的）龙头
せん,先,以前；很早；领先；占先；（围棋）先着；先走；祖先
せん,線,线，线条，界限；电线；线路，路线，铁路线
ぜん,禅,禅，静坐默念
ぜん,善,善，善行，好事
ぜん,膳,托盘，食案，（小）饭桌，饭菜；（助数词）碗，双
ぜん～,全～,全，全部，完全，整个，完整无缺
せんい,繊維,纤维
ぜんいき,全域,整个地区，整个领域，整个范围
ぜんいん,全員,全体人员，全体成员
ぜんかい,全快,痊愈
せんきょ,選挙,选举，推选
せんきょう,宣教,传教，布道
せんぎょう,専業,专业，专门的职业；独占事业，垄断事业，垄断经营，专营
せんげつ,先月,上个月，上月
せんげん,宣言,宣言，宣布，宣告
ぜんご,前後,（空间或时间上的）前后，相继，一前一后；前后颠倒，（次序）颠倒，错乱；上下，（某时的）前后，左右
せんこう,先行,先行，走在前头，领先，占先
せんこう,選考,选拔，选用，权衡，挑选，选拔录用（人材）
せんこう,専攻,专攻，专修，专门研究，专业
ぜんこく,全国,全国
せんさい,繊細,纤细，柔嫩，细腻
せんさい,戦災,战祸，战灾，兵燹，战争灾害
せんざい,洗剤,洗涤剂，洗衣剂，洗衣粉
せんじつ,先日,前些日子，前几天
ぜんしゃ,前者,前者
せんしゅ,選手,选手，运动员，健将；选拔出来的人
せんしゅう,先週,上星期，上周
せんしゅう,専修,专修，专攻
ぜんしゅう,全集,全集
せんじゅつ,戦術,战术，策略
せんじん,先人,先人，前人，先辈，古人；祖先
ぜんしん,前進,前进，进步，提高
ぜんしん,全身,全身，浑身，满身，遍体
センス,sense,感觉，官能，灵机；审美能力，美感，灵感，观念，理性；辨别力，判断力，见识，眼光
せんす,扇子,扇子，折扇
せんすい,潜水,潜水
せんせい,先生,教师，教员，老师，师傅，先生；长辈
せんせい,専制,专制，专制作风，独断，专断
ぜんせい,全盛,全盛，极盛；最盛行
せんせいをでむかえる,先生を出迎える,迎接老师
ぜんぜん,全然,全然，完全，根本，简直；（下接否定语）全然，丝毫（不）；十分地，非常，甚
ぜんぜん～ない,全然～ない,完全不
せんせんげつ,先先月,上上个月，前两月，大上月
せんせんげつ,先々月,上上个月，前两月，大上月
せんせんしゅう,先々週,上上个星期
せんぞ,先祖,始祖，祖先，祖宗，先人
せんそう,戦争,战争，战事，会战，打仗
センター,center,中心，中心地，中心区，中心（机构），（中心）站，中央
せんだい,仙台,日本地名，仙台市，宫城县中央的一个市，宫城县厅所在地
せんだい,先代,上一辈，上一代（的主人），以前的时代，上一个时代
ぜんたい,全体,全身，浑身，整个身体；全，全体，总体，全部
せんたく,洗濯,洗，洗衣服，洗涤
せんたく,選択,选择
せんたくき,洗濯機,洗衣机
せんだって,先だって,前几天，那一天
せんたん,先端,顶端，头，端，尖头，尖端
センチメートル,centimetre,厘米，公分
せんちゃく,先着,先到，先到达，先来到
ぜんてい,前提,前提，前提条件，出发点
せんでん,宣伝,宣传，吹嘘，鼓吹，夸大宣传，宣讲
せんてんてき,先天的,先天的；天赋的
ぜんと,前途,将来，前途，前程，路程，出息
せんとう,先頭,前头，排头，最前列，最先，先头，最前面
せんとう,戦闘,战斗
せんにゅう,潜入,潜入，溜进
せんねん,専念,一心一意，专心致志，专心，一心盼着
せんぱい,先輩,前辈，先辈，先进，高年级同学
せんぱく,船舶,船舶，船只
ぜんはん,前半,前半，前一半，上半，前半部分
ぜんぱん,全般,全般，普遍，全盘，通盘，全面，全体
ぜんぶ,全部,全部，全体
せんぷうき,扇風機,风扇，电扇
せんめい,鮮明,鲜明，清晰，清楚
ぜんめつ,全滅,全歼，完全消灭，全毁，全死
せんめん,洗面,洗脸
せんもん,専門,专门，专业，专长
ぜんや,前夜,前夜，前夕，昨夜
せんよう,専用,专，专用，专门用于～
せんりょう,染料,染料
せんりょう,占領,占领，占，攻占；占据
ぜんりょう,善良,善良，正直
せんりょく,戦力,军事力量，作战能力，战争潜力，力量，战斗力
ぜんりょく,全力,全力，全部力量，最大输出
ぜんれい,前例,先例，前例，惯例
せんれん,洗練,洗练，精练（炼），简练利落，推敲，千锤百炼
せんろ,線路,铁路，轨道，铁轨，钢轨
そう,副う,沿，顺，按照，遵照，符合，满足（要求）
そう,僧,僧，僧侣，和尚，僧人，出家人
そう,添う,增添，加上，添上，添加，外加；紧跟，跟随，不离；结成夫妇，结婚
そう,相,相，外表，相貌
そう,沿う,沿，顺；按照
そう,,那么，那样，那样地；是，是的，不错；是吗；那样；好像，仿佛；据说，听说
ぞう,象,象，大象
ぞう,像,像，象，姿态；影像，肖像，画像
そうい,相違,不同，悬殊，差异，相差
そういえば,そう言えば,说起来
そうおう,相応,适应，相称，适宜，适合，相应
そうおん,騒音,噪音，噪声，嘈杂声，噪音
ぞうか,増加,增加，增多
そうかい,総会,总会，大会，全会，全体会议
そうかん,創刊,创刊
ぞうき,雑木,杂样树木，不成材的树木，杂木
そうきゅう,早急,紧急，火急，赶快
ぞうきょう,増強,加强，增强
そうきん,送金,寄钱，汇款
ぞうきん,雑巾,抹布
ぞうげん,増減,增减
そうこ,倉庫,仓库，货栈
そうご,相互,互相，彼此，交替，交互，相互，双方
そうこう,走行,行车
そうごう,総合,综合，总合
そうごん,荘厳,庄严
そうさ,操作,操纵，驾驶，操作，安排，控制；安排，周转
そうさ,捜査,搜查（犯人等）；查找，查访，寻找
そうさく,創作,创造，创作，制作，写小说，捏造
そうさく,捜索,搜索，搜寻，搜查
そうじ,掃除,打扫，扫除，淘厕所，清除
そうしき,葬式,葬礼，殡仪
そうじき,掃除機,除尘器，吸尘器
そうしつ,喪失,丧失
そうして,,然后，于是，并且，而，又，而且
そうじゅう,操縦,驾驶，操纵，驾御，控制
ぞうしょう,蔵相,藏相，大藏大臣，财政部长，财政大臣
そうしょく,装飾,装饰，点缀
ぞうしん,増進,增进，增加
そうすると,,这样说来，这么说
ぞうせん,造船,造船
そうぞう,創造,创造
そうぞう,想像,想象，假定
そうぞうしい,騒騒しい,吵闹的，嘈杂的，喧嚣的，不安宁
そうぞうしい,騒々しい,吵闹的，嘈杂的，喧嚣的，不安宁
そうぞく,相続,继承（财产）
そうたい,相対,相对
そうたい,早退,早退
そうだい,壮大,雄壮，宏大
ぞうだい,増大,增大，增多，增高
そうだったら,,如果是那样
そうだん,相談,商量，协商，协议，磋商，商谈
そうだんにのる,相談に乗る,帮人斟酌，帮人出主意
そうち,装置,装置，设备，装备，配备，安装
そうっと,,静悄悄
そうとう,相当,相当于，相等于，适合，适称，等于；相当
そうどう,騒動,骚动，暴动
ぞうとうひん,贈答品,赠品，礼物
そうなん,遭難,遇难，遇险
そうば,相場,（商品的）市价，行情，行市，时价
そうび,装備,装备，配备
そうべつ,送別,送别
ぞうり,草履,草屐，草鞋，人字拖鞋，拖鞋
そうりだいじん,総理大臣,内阁总理，总理大臣
そうりつ,創立,创立，创建，创办
そうりょう,送料,邮费，运费
そうれい,壮麗,壮丽，壮观
そえる,添える,添，加；附加，附上，配上，配带
ソース,sauce,酱料
ソース,source,来源
ぞくご,俗語,俗话，口语，白话，粗俗的方言
そくざに,即座に,立即，当场，马上
そくしん,促進,促进
そくする,即する,就，适应，结合，符合，切合
ぞくする,属する,属于，归于，从属于，隶属
そくせい,促成,促成，人工加速培育，人工培育
ぞくぞく,続々,阵阵发冷，打寒战，身上发觉冷，冷得哆嗦；高兴得心情激动，因为高兴而心情激动；（因恐惧）感到毛骨悚然
ぞくぞくと,続々と,陆续，纷纷，不断
そくたつ,速達,快信，快件，速寄；快递
そくてい,測定,测量，测定
そくど,速度,速度
そくばい,即売,（展品）当场出售
そくばく,束縛,束缚，限制，约束
そくめん,側面,侧面，侧翼，旁边，一面
そくりょう,測量,测量
そくりょく,速力,速度，速率，速力
そこ,底,底，底儿，底子；最低处，限度，最底下，最下面；到头；边际；内心（深处），真心
そこ,其処,那里，哪儿，那边；（接前面的话，表示所提到的）那一点，那个地方，那个场面；（表示刚读完的那个时间）这时候
そこ,其所,那里，哪儿，那边；（接前面的话，表示所提到的）那一点，那个地方，那个场面；（表示刚读完的那个时间）这时候
そこで,,因此，于是，所以；现在；（转移话题）那么，可是
そこなう,損なう,损坏，破损，伤害，损害，伤，害；（接其他动词连用形下表示）没成功，失败，错误，～坏，没有成功
そこら,其処ら,那边，那里，那一带；那种程度；左右
そざい,素材,素材，原材料，题材
そし,阻止,阻止，阻塞
そしき,組織,组织，组成，构造，构成
そしつ,素質,素质，性质，天分，天资，本质，资质
そして,,然后，而，而且
そしょう,訴訟,诉讼，起诉
そせん,祖先,祖先
そそぐ,注ぐ,流入，流，降下，落下，注入；倒入，盛入；集中，贯注
そそっかしい,,举止慌张，粗心大意，冒失的，轻率的
そそる,,引起，勾起（某种感情，欲望等）
そだち,育ち,教育，教养，抚养，出身；生长，发育，成长，长势
そだちざかり,育ち盛り,小孩成长期，生长发育期
そだつ,育つ,发育，成长，生长，长进，长大
そだてる,育てる,培育，抚育，抚养，养育；教育
そち,措置,措施，处理，处理办法，处置
そちら,,那边（儿），那里；你们那里，贵处；贵方；那个；贵家属
そつぎょう,卒業,毕业，体验过，过时，过了阶段
ソックス,socks,短袜，短筒袜子，（短）袜子
そっくり,,全，全部，完全，原封未动；一模一样
そっけない,素っ気ない,冷淡的，无情，不客气的
そっけない,素っ気無い,冷淡
そっこうじょ,測候所,气象台，气象站；地震观测站
そっち,,那边（儿），那里；你（用于关系较密切者）
そっちょく,率直,直率，爽直，直爽，坦率
そっと,,悄悄地，轻轻地，照原样不动地，安静地；偷偷地，暗中
ぞっと,,突然感到冷，（因为寒冷或惊惧而）毛骨悚然，打寒战
そっぽ,外方,一边；旁边（同よその方），外边，别处
そで,袖,袖子，衣袖；（舞台的）侧面布置，（写字台旁侧的）抽屉，两侧的抽屉，两翼
そと,外,外面，外边；外头，家外
そなえつける,備え付ける,设置，装置，安置，配备，装备
そなえる,備える,准备，防备，设置，预先准备；备置，装备；具备
そなえる,供える,供，献，供奉，上供
そなえる,具える,防备，设置，具有
そなわる,備わる,设有，具有，具备，备有
そなわる,具わる,备有，列入，具有
その,,（其の）那个，其
そのあと,,其后，以后
そのうえ,其の上,而且，又，加之，并且，再
そのうち,その内,（其の内）不久，过些日子，改天，过几天
そのうちに,その内に,就要；不久
そのかわり,其の代わり,（その代わり）但是，另一方面，代之，代替
そのかわりに,,作为报答，作为补偿，代替前者
そのけっか,その結果,结果
そのころ,その頃,（其の頃）那时候，那时
そのた,その他,（其の他）除此之外，其它，另外
そのため,其の為,因此，所以
そのほか,其の外,除此之外
そのまま,其の儘,原封不动，～就那样
そのよう,,那样
そのように,,那样
そば,傍,侧；旁边
そば,側,旁边；附近
そば,蕎麦,荞麦；荞面条
そびえる,聳える,耸立，出类拔萃，屹立
そふ,祖父,爷爷，祖父，老爷，外祖父
ソファー,sofa,沙发
ソフト,soft,柔软，柔和，软件
そぼ,祖母,奶奶，祖母，姥姥，外祖母
そぼく,素朴,朴素，淳朴，质朴，素朴单纯
そまつ,粗末,粗糙，不精致，简陋；疏忽，粗心，漫不经心，（对人）怠慢
そまる,染まる,染上；沾染，受影响
そむく,背く,背着，背向；违背，不遵从，背叛，违反；离开（家出奔），背离
そめる,染める,染（上）颜色，脸发红，涂上颜色，沾手
そもそも,,最初，开始，第一，原来；究竟，说起来
そや,粗野,粗野，粗鲁
そら,空,天，天空，空中；天气；茫然；背诵；总觉得，无根据的，表示没有确凿的证据；空的，白白的，表示徒劳无益；表示假
そらがくもる,空が曇る,天阴着
そらす,反らす,向后仰，弄弯
そらす,逸らす,躲开，偏开，转移（视线）；分散（注意力），回避（问题）；岔开（话题）
そらをとびまわる,空を飛び回る,翱翔于蓝天
そり,撬,雪撬
そる,反る,翘（曲），弯（曲），卷曲，身子向后弯
そる,剃る,剃，刮
それ,,喂，哎呀，嘿，看；那个，那时
それから,其れから,接着，然后，从那时起，以后；其次，还有
それぞれ,其々,各，分别，各各，每个
それだけ,其れ丈,那些，那么多，那种程度，惟独那个，那样程度，相应地
それで,其れで,（承上启下）所以，因此；那么，后来（用以催促对方继续谈下去）
それでは,其れでは,那么，那样的话，那就
それでも,其れでも,尽管如此，可是
それと,,那么
それとはなしに,,暗中（それとなく）
それとも,其れとも,或者，还是
それなのに,其れなのに,尽管～可是
それなら,其れなら,那么，那样的话，如果那样，要是那样
それに,其れに,尽管那样，并且，加上，而且，再加上（在日常会话中，用于讲述客观性说明）
それにしては,,那么说
それにしても,,即使那样，话虽如此；并且，还
それほど,其れ程,那么，那种程度，那样
それゆえ,それ故,因此，所以
それゆえ,其れ故,因此，所以
それる,逸れる,脱离正轨，歪向一旁，不合调子，走调，脱轨，（子弹）打歪；（箭）射歪；（话题）离开
ソロ,solo,（意）独唱，独奏，单独表演，单独
そろい,揃い,成套，成付，成组，一致；套，付，组，一套
そろう,揃う,齐，齐全，齐备；成双，成对，成套；一致，谐和
そろえる,揃える,使～一致；使～齐备，备齐，凑齐
そろそろ,,慢慢地，徐徐（地）；渐渐，逐渐，渐渐地；就要，快要，不久
そろばん,算盤,算盘，利害得失的计算，如意算盘，日常的计算技术
そわそわ,,不镇静，心神不定，慌张，心不在焉，坐立不安
そん,損,损失，赔钱，亏损，亏；不合算，吃亏，不利
そんがい,損害,损失，损害，损伤，损耗
そんけい,尊敬,尊敬，恭敬，敬仰
そんざい,存在,存在，有，人物，存在物
ぞんざい,,粗草，草率，马虎，潦草，粗鲁
そんしつ,損失,损失
ぞんじる,存じる,（谦让语）知道，认识
ぞんずる,存ずる,想，打算，认为；知道，认识
そんぞく,存続,继续存在，永存，长存
そんちょう,尊重,尊重，重视
そんとく,損得,损益，得失，利害
そんな,,那样的，那样
そんなに,,那么，那样，那样地
た,他,此外，另外，其他（的人，地点，事物等）
た,田,水田，田
ダース,dozen,打（十二个一组）
タイ,Thailand,泰国
たい,対,对，比，同等，对等，对立；对，同；相反的东西，反义词；对比
たい,隊,队，军队，集团，部队；队伍
だい,大,非常，很，极；（大小的）大，多，大量，优越；大学
だい,台,高台，楼台，商台；台，架，辆，大关，座；几（接在数词下面，表示大致的程度，范围）
だい,題,题，题目；道题；问题；标题，书名；话题
ダイア,diagram,列车时刻表
ダイアモンド,diamond,钻石
たいいく,体育,体育
だいいち,第一,第一；首要的东西，最重要的东西；首先
たいいん,退院,出院，走出议院
たいおう,対応,对应，相对，对立；调和，适应；看人行事，见机行事，应付
たいおん,体温,体温
たいか,大家,大房子，大门第；大家，大师，专家，权威，名门
たいか,退化,退化，退步，倒退
たいかい,大会,大会，全体会议，全会
たいがい,大概,大概，概略；大部分；大体上，多半，差不多；大概
たいかく,体格,体格，身体
たいがく,退学,退学
だいがく,大学,大学
だいがくいん,大学院,大学研究院，研究生院
だいがくせい,大学生,大学生
たいき,大気,大气，空气
たいきん,大金,巨款，大钱
だいきん,代金,价款，货款，款
だいく,大工,木匠，木工
たいぐう,待遇,接待，对待，服务，待遇
たいくつ,退屈,无聊，闷，寂寞，厌倦，发闷
たいけい,体系,体系，系统，组织
たいけつ,対決,（原高和被告在法庭）对质，对证，辨明是非；决战，对抗，决一雌雄，摊牌
たいけん,体験,体验，经验
たいこ,太鼓,鼓，大鼓
たいこう,対抗,对抗，抗衡
たいざい,滞在,停留，逗留，旅居
たいさく,対策,对策，应付的方法
たいし,大使,大使，特命全权大使
たいじ,退治,征服，讨伐，扫荡，惩办；扑灭，消灭
だいじ,大事,大事，重大问题，大事件，大祸，不得了的事情；重要，要紧，宝贵
たいしかん,大使館,大使馆
たいした,大した,非常的，惊人的，了不起的，并不怎样的
たいしたことはない,,没什么大不了，没什么了不起
たいしたものです,,很（真）了不起
たいして,大して,（与否定语呼应）并不那么
たいして～ない,大して～ない,并不那么
たいしゅう,大衆,大众，群众
たいじゅう,体重,体重
たいしょ,対処,处理，应付，对付
たいしょう,対象,对象
たいしょう,対照,对照，对比
だいしょう,大小,大小，大与小，大刀和小刀，大大小小
だいじょうぶ,大丈夫,牢固，可靠，放心，不要紧，安全，放心，不要紧，靠得住，没错儿；男子汉，大丈夫，好汉
たいしょく,退職,退职
だいじん,大臣,大臣，部长
だいすき,大好き,最喜欢，很喜欢的
たいする,対する,对；面对，面向；对于；相反，对比；对比，对待
だいする,題する,题名，标题，题字，题辞，题（字，书）
たいせい,態勢,态势，姿态，阵势，态度
たいせい,体制,体制
たいせいよう,大西洋,大西洋
たいせき,体積,体积，容积
たいせつ,大切,要紧，重要，贵重，心爱；保重，爱惜，珍视
たいせん,大戦,大战，大战争，世界大战
たいそう,大層,很，甚，非常，夸张
たいそう,体操,体操；体育课
たいだ,怠惰,怠惰，懒惰
だいたい,大体,概要，大略；差不多，大致，大体；基本上，根本，本来，原来
たいだん,対談,对谈，会谈，对话
だいたん,大胆,大胆，胆子大，勇敢，无畏
たいてい,大抵,大抵，大体上，基本，大都，大概，差不多，普通
たいど,態度,态度，表现，举止，举动
たいとう,対等,对等，同等，平等
だいとうりょう,大統領,总统，老板
だいとかい,大都会,大城市
だいどころ,台所,厨房，经济状况
だいどころをあずける,台所を預ける,掌管厨房
タイトル,title,题目，标题；官衔，头衔；（电影）字幕
だいなし,台無し,弄坏，糟蹋，断送
たいのう,滞納,滞纳，拖欠，逾期未缴
たいはん,大半,大半，多半，过半，大部分
たいひ,対比,对比，对照，相对比
タイピスト,typist,打字员
だいひょう,代表,代表
たいぶ,大部,大部头，大部；大量，大部分
タイプ,type,型，型式，类型，典型；打字，打字机
だいぶ,大分,很，相当，颇，甚，极
たいふう,台風,台风
たいふうがやってくる,台風がやってくる,台风来临
たいふうにそなえる,台風に備える,准备台风
だいぶぶん,大部分,大部分，多半
タイプライター,typewriter,打字机
だいぶん,大分,很，相当
たいへいよう,太平洋,太平洋，位于亚洲、南美洲、北美洲、南极洲和大洋洲五大陆间的世界最大的海洋，占地球表面积的三分之一，麦哲伦首次横渡太平洋时风平浪静，故得此名
たいへん,大変,大事变，大事故，大变动，重大，不得了的事，了不起；非常，太，甚，很
だいべん,大便,大便，粪
だいべん,代弁,代偿，代办（事务），代理；替人赔偿；代为辩论，代言
たいほ,逮捕,逮捕，拘捕，捉拿
たいぼう,待望,期望，等待，期待，盼望
たいぼく,大木,大树，巨树
だいほん,台本,脚本，剧本
タイマー,timer,秒表，定时器，计时开关
たいまん,怠慢,懈怠，玩忽，怠慢，怠惰
タイミング,timing,时机
タイム,time,时，时间，比赛时所需时间，（比赛）时间；比赛暂停，暂停；时代
タイムマシン,time machine,时间机器，时空隧道
タイムリー,timely,适时，及时，适合时机
だいめい,題名,标题，题名，题目
だいめいし,代名詞,代词，代名词
たいめん,対面,会面，见面
タイヤ,tire,（橡皮）轮胎，车胎
ダイヤ,diamond,钻石，金刚石；（扑克牌）方块（儿）；行车时刻表
ダイヤグラム,diagram,列车时刻表，行车时刻表
ダイヤモンド,diamond,钻石，金刚石；方块，内野
ダイヤル,dial,调谐度盘，刻度盘，号码盘，（电话机的）拨号盘，（收音机，各种仪器的）标度盘；（钟表上的）字盘
たいよう,太陽,太阳，日
だいよう,代用,代用，替代使用
たいら,平ら,平，平坦，平地，平原
だいり,代理,代理，代替，代理人
たいりく,大陸,大陆
たいりつ,対立,对立，对峙
たいりょく,体力,体力
タイル,tile,花砖，瓷砖，瓦片
たいわ,対話,对话，对谈
たいわん,台湾,台湾
たうえ,田植え,（田植）插秧
ダウン,down,落下，降落，下降，倒下；击倒；（小鸟的）羽毛
たえず,絶えず,不断地，不断，经常，不住地
たえる,断える,断绝
たえる,絶える,断绝，终了，停止，消失，断，绝
たえる,堪える,担负，耐，胜任，经得住；忍耐，忍受，容忍；值得，能够
たえる,耐える,担负，耐，胜任，经得住；忍耐，忍受，容忍；值得，能够
だえん,楕円,椭圆，椭圆形
たおす,倒す,倒，放倒，推倒，弄倒；整死，弄死；打败；打倒，推翻；欠账不还，赖债
タオル,towel,毛巾
たおれる,倒れる,倒，塌，倒毁，垮台，倒台，崩溃；倒闭；病倒；倒，死，被弄死
だが,,但是，可是，虽然～可是
たかい,高い,高的，崇高，高尚，高贵；著名的，有名的；（价格）贵的；（声音）大的
たがい,互い,（互）互相，双方，彼此相同，相互，两方
だかい,打開,打开，开辟，解决
たがいに,互いに,彼此，相互，互相
たかさ,高さ,高，高度，（声音的）高低，（价格的）贵贱
たかまつ,高松,日本地名
たかまる,高まる,高涨，提高，增长，兴奋，越来越高，升高，增高
たかめる,高める,提高，抬高，加高
たがやす,耕す,耕，耕作
たから,宝,宝，财宝，珍宝，宝物；宝贝，宝贵的（事物）
だから,,因为，因此，所以
たき,滝,瀑布
だきかかえる,抱きかかえる,（抱き抱える）怀抱，搂抱
たきび,焚き火,（焚火）篝火；（在院子，路旁等处）烧树叶，废纸
だきょう,妥協,妥协，和解
たく,炊く,煮，烧，生
たく,焚く,煮；烧，生
たく,宅,家，住所，居处，您，住宅；（妇人对别人称自己的丈夫）我的爱人
だく,抱く,抱；孵；怀抱
たくさん,沢山,许多，很多，好些；足够，太多
タクシー,taxi,出租汽车，的士，计程车，出租车
たくましい,逞しい,（体格）魁梧的，健壮的，强壮；旺盛，（精神）刚毅的，大胆的
たくみ,巧み,巧，巧妙，精巧；技巧，技术
たくわえる,蓄える,储备，储存，贮存，贮备，存款
たけ,丈,身长，高度；尺寸，长短
たけ,竹,竹，竹制乐器，竹子
だけ,,限定
だげき,打撃,打击，击球，冲击
だけつ,妥結,妥协，达成协议
だけど,,（与“けれども”基本一致）但是，不过（表示逆接）；表示对比；叙述说话人的意见、感情
たけにつるす,竹につるす,挂在竹杆上
たけのこ,筍,笋，竹笋
たこあげ,凧揚げ,放风筝
ださく,駄作,拙劣的作品，无价值的作品
たしか,確か,确实，确切，切实；可靠，靠得住，正确，准确；的确，大概
たしか～だったとおもう,確か～だったと思う,大概
たしかめる,確かめる,弄清，查明
たしざん,足し算,加法
たしゅたよう,多種多様,多种多样，各式各样
たしょう,多少,多少，多寡；多少，一点儿，稍微
たす,足す,加，添，续，上；利用，做事
だす,出す,出，送；拿出，取出，出示；搬出去；出（车），出（船）；打发；寄，发；支付，提出，展出；伸出，挺出（胸）；剩余，超出限度；出现，显出；新加；出版，发刊，刊登，登载；产生，有；给；（接动词连用形）开始，～起来，～出来
たすう,多数,多数，许多，多数人，许多（人）
たすうけつ,多数決,多数表决
たすかる,助かる,得救，脱险；省（劳力，费用），省事；得帮助
たすけ,助け,帮助，援助；救助，救济，救命
たすける,助ける,助，援助，救，救助；帮助，救济
たずさわる,携わる,参与，参加，从事，有关系
たずねる,訪ねる,访问，拜访
たずねる,尋ねる,寻，找，寻找，问
ただ,唯,只是，只；净，光；不过，但是；不要钱，白给，免费，白；普通，一般，平凡；（多接だけ、ばかり）数量，程度仅仅
ただ,只,只是，只；净，光；不过，但是；不要钱，白给，免费，白；普通，一般，平凡
ただいま,唯今,（只今）现在，刚才，刚刚；马上，立刻，这就；（从外边回到家中时照例说的话）我回来了
たたかい,闘い,战斗，争夺，竞争，竞赛
たたかい,戦い,战争，战役，战斗，战；斗争；竞赛，比赛
たたかう,闘う,战斗，战争，斗争，竞赛，比赛
たたかう,戦う,战斗，战；战争，作战，打仗，进行战争；斗争；竞赛，比赛
たたく,叩く,敲（门），叩；打（入），攻击，驳斥；拍，鼓（掌）；花完，用光；说，讲
ただし,但し,但，但是
ただしい,正しい,正确的，对；正的，正当的，正直的；端正的，周到的
ただちに,直ちに,立刻，立即，马上；直接，亲自
ただでさえ,,本来就已经，平常就
たたみ,畳,草垫，草席，榻榻密，草衬垫
たたむ,畳む,叠，折；合上（书）；收束，关闭，关；隐藏（在心里）
ただよう,漂う,漂，飘荡，漂流，漂浮，漂荡；洋溢
たちあがる,立ち上がる,起来，起立，立起，伸起，站起来；恢复，重振
たちあがる,立上る,立起，伸起
たちさる,立ち去る,走开，离去，离开
たちさる,立去る,走开，离开
たちとまる,立ち止る,（立ち止まる）原地不动；留宿；停住不走，站住，站下，止步
たちどまる,立止まる,站住
たちば,立場,立场，立脚地，观点；处境
たちまち,忽ち,转瞬间，立刻，马上，不大工夫，一会儿；忽然，突然
たちよる,立ち寄る,靠近，走近；顺便到，顺路到，中途落脚
たちよる,立寄る,挨近，靠近
たつ,裁つ,裁，剪；断绝，戒，切，切断
たつ,断つ,切，断，遮断，戒，裁，切断，绝；断绝，消灭
たつ,発つ,立，站，奋起，（行动）起来；冒，升；离开；出发；到（新的一年，季节）；耸立；刺扎，占；起，生；显，露，传出；堪用，优秀；保住，保持，成立；明确，昭然；（时间）过去
たつ,建つ,建，盖
たつ,経つ,过，经
たつ,絶つ,绝，断绝，断绝，结束
たつ,立つ,立，站，奋起，（行动）起来；冒，升；离开；出发；到（新的一年，季节）；耸立；刺扎，占；起，生；显，露，传出；堪用，优秀；保住，保持，成立；明确，昭然；（时间）过去
だっこ,抱っこ,（幼儿语）抱
たっしゃ,達者,精通，熟练；壮健，健康
だっしゅう,脱臭,除臭
だっしゅつ,脱出,逃出，逃脱，逃亡
たつじん,達人,高手，达观的人，名手
たっする,達する,到，到达，达，达到；通达，精通
だっする,脱する,逃出，逃脱；脱离，离开；脱离，漏掉
